eng,dzo,eng_to_dzo,dzo_to_eng
"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.",ཆུ་ཚོད་༡༡དང་སྐར་མ་༢༩དེ་ཅིག་ཁར་ ངོ་བརྒལ་འགྲེམ་སྟོན་འབད་མི་ཚུ་ ཝའིཊ་ཧོལ་ལས་ ཊ་ཕཱལ་གར་ཨིས་ཀོ་ཡར་དང་ ཨིས་ཊེརནཊ ཨེལ་ཝིཅ་དང་ ཀིངསི་ཝེ་ཚུ་བརྒྱུད་དེ་ ཁ་ཡར་ལྟ་ ཧོལ་བོརན་ལུ་ལྷོད་དེ་ཡོདཔ་ད་ དེ་བསྒང་ གེརན་ཀོན་ནའུཌ་བཟའ་ཁང་ནང་ལུ་ ཀོན་ཟར་ཝེ་ཊིཔ་ཚོགས་པའི་ཞལ་འཛོམས་ཚོགས་པའི་བསྒང་སྡོད་ནུག,ཆུ་ཚོད་༡༡:༢༩ དེ་ཅིག་ཁར་ ངོ་རྒོལ་འདི་ Whitehall ལུ་འགྱོ་སྟེ་ Trafalgar Square ལས་ Strand བདའ་སྟེ་ Aldwych དང་ Kingsway ལུ་འགྱོ་སྟེ་ Holborn ལུ་འགྱོ་ཡོདཔ་ད་ དེ་བསྒང་ Conservative Party གིས་ Grand Connaught Rooms ཟ་ཁང་ནང་ལུ་ གནམ་བྱཱར་གྱི་གྲོས་འཛོམས་འགོ་འདྲེན་འཐབ་སྟེ་ཡོདཔ་ཨིན།,"At around 11.29am, the demonstrators traveled from Whitehall via Trafalgar Square, Strant, Elwich and Kings Way to Upward Holborn, where they met at the Knights Hotel of the Great Conference."
Nadal's head to head record against the Canadian is 7–2.,ན་དཱལ་གྱིས་ ཀེ་ན་དྲ་གི་རྩེད་འགྲན་པ་ལས་ སྐུགས་༧དང་༢སྦེ་ རྒྱལ་ཁབ་ཐོབ་ནུག,ནཱ་ཌལ་གྱིས་ ཀེ་ནེ་གྲི་ཡན་ལུ་ མགུ་ཏོ་ལས་མགུ་ཏོ་གི་ཐོ་བཀོད་འདི་ ༧-༢ ཨིན་པས།,Nadal won the match 7-2 over the Canadian.
He recently lost against Raonic in the Brisbane Open.,ན་དཱལ་འདི་ ཕྲལ་ཁམས་ཅིག་ཁར་ བི་རེས་བེན་འགྲན་བསྡུར་ནང་ལུ་ རོ་ནིག་ལས་ ཕམ་སོང་ནུག,འཕྲལ་ཁམས་ཅིག་ཁར་ བིརིསི་བེན་ཨོ་ཕེན་ནང་ རའོ་ནིག་ལུ་ ཕམ་ཡོདཔ་ཨིན་པས།,Nadal most recently lost to Roenig at the Brisbane Tournament.
Nadal bagged 88% net points in the match winning 76 points in the first serve.,ན་དཱལ་གྱིས་་ སྐུགས་བརྒྱ་ཆ་༨༨འདི་ དྲྭ་བ་གི་རྩ་བ་ལས་ཐོབ་ཡོདཔ་ད་ སྐུགས་༧༦འདི་ འགོ་ཐོག་སརཕ་རྐྱབ་ད་ལུ་ བཟོ་ནུག,ན་ཌལ་གྱིས་ རྩེད་འགྲན་ནང་ བརྒྱ་ཆ་༨༨ ཐོབ་སྟེ་ སྐུགས་༧༦ ཐོབ་སྟེ་ འགོ་དང་པ་ སྐུགས་ཐོབ་ཡོདཔ་ཨིན་པས།,"Nadal scored 88 percent of his points from the net, 76 of them on his first serve."
"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""",རྩེད་འགྲན་མཇུག་བསྡུ་བའི་ཤུལ་ལུ་ འདམ་ནང་ལུ་རྩེད་འགྲན་པ་དྲག་ཤོས་ཨིན་མི་ ན་དཱལ་གྱིས་སླབ་མི་ནང་ རྩེད་འགྲན་འདི་ནང་ལུ་ ལོག་སྟེ་རང་ མཐའ་དཔྱད་ནང་ལུ་ལྷོད་ནི་འདི་གིས་ གནམ་མེད་ས་མེད་སེམས་དགའ་ཡི་ཟེར་བཤད་ཡོདཔ་མ་ཚད་ འགྲན་བསྡུར་འདི་ནང་ལས་ རྒྱལ་ཁ་ཐོབ་ཚུགསཔ་སྦེ་རང་འབད་ནི་སྦེ་ཡོདཔ་སྦེ་ཨིན་མས།,རྩེད་འགྲན་གྱི་ཤུལ་ལས་ ཀ་ལེ་གི་རྒྱལཔོ་གིས་ ཁག་ཆེ་ཤོས་ཀྱི་ མཐའ་དཔྱད་འགྲན་བསྡུར་ནང་ ལོག་འོང་ཚུགས་མི་ལུ་ སེམས་དགའ་སྟེ་ཡོདཔ་ལས་ རྒྱལ་ཁ་ཐོབ་ནིའི་དོན་ལུ་ ནཱ་ལུ་འོང་ཡི་ཟེར་ཨིན་པས།,"After the match, Nadal, the best player on clay, said he was very happy to reach the final again and that he would do his best to win the tournament."
"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.",སྤྱི་ལོ་༢༠༡༦གི་ གནམ་སོ་ཁ་ལུ་ བརྡ་བརྒྱུད་ཚུ་ལུ་ཤོར་མི་ པ་ན་མ་ཡིག་ཆ་འདི་ པ་ན་མ་ནི་ཡན་ཁྲིམས་འབྲེལ་ཡིག་ཚང་ཅིག་ཨིན་མི་ མོ་སེག་ཕོན་སི་ཀ་ཟེར་ས་ལས་ ཡིག་ཆ་ས་ཡ་༡༠དེ་ཅིག་ཤོར་མི་འདི་ཨིན།,"""Panama Papers"" ཟེར་མི་འདི་ སྤྱི་ལོ་༢༠༡༦ གི་གནམ་བྱཱར་ལུ་ གནས་ཚུལ་ལས་ཁང་ནང་ལུ་ ཐོན་མི་ Panamanian གི་ཁྲིམས་དོན་ལས་སྡེ་ Mossack Fonseca ལས་ ཡིག་ཆ་ས་ཡ་༡༠ དེ་ཅིག་གི་དོན་ལས་ མིང་ཚིག་ཅིག་ཨིན་མས།","The Panama Papers, which leaked to the media in the autumn of 2016, was the leak of nearly $10 million worth of documents from a Panamanian legal office called Mosaic Fonseca."
The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,ཡིག་ཆ་འདི་ཚུ་གིས་ དངུལ་ཁང་༡༤གིས་ དངུལ་ཁང་ནང་ལུ་རྩིས་ཁྲ་འཆང་མི་ཕྱུགཔོ་ཚུ་ལུ་ ཁྲལ་དང་གཞན་མི་ལམ་ལུགས་ཚུ་ལས་ཟུར་ནི་དོན་ལུ་ ཡུ་ཨེས་དྲོ་ལར་ཐེར་འབུམ་ལས་བཅད་དེ་ སྦ་བཞག་ནི་ནང་ ཆ་རོགས་འབད་ཡོདཔ་སྦེ་གསལ་སྟོན་འབད་ནུག,ཡིག་ཆ་ཚུ་ནང་ དངུལ་ཁང་༡༤ གིས་ ཕྱུགཔོ་ཚུ་ལུ་ ཁྲལ་དང་ གཞན་མི་ཁྲིམས་ལུགས་ཚུ་ལས་ བཀག་ཐབས་ལུ་ ཡུ་ཨེས་དྲོ་ལར་ཐེར་འབུམ་ལས་བཅད་དེ་ རྒྱུ་དངོས་ཚུ་ སྦ་བཞག་ནི་ལུ་ གྲོགས་རམ་འབད་ཡོདཔ་སྦེ་ གསལ་སྟོན་འབད་ནུག།,The documents revealed that 14 banks helped wealthy bank account holders hide billions of dollars to evade taxes and other regulations.
British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,བིར་ཊིཤ་གི་གསར་ཤོག་ཅིག་ཨིན་མི་ དི་གར་དྲི་ཡན་ནང་ལུ་འབད་བ་་ཅིན་ དམིགས་དོན་འདི་གི་དོན་ལུ་སྒོ་ཕྱི་སྟེ་ཡོད་མི་ལས་སྡེ་༡༢༠༠ལས་ སུམ་དཔྱ་ཅིག་འདི་ དྲུ་སིཅ་དངུལ་ཁང་གི་འོག་ལུ་ཨིན་མས་ཟེར་བཀོད་དེ་འདུག,བིརི་ཊིཤ་གི་གསར་ཤོག་ གཱར་ཌི་ཡན་གྱིས་ འདི་གི་དོན་ལུ་ ལག་ལེན་འཐབ་མི་ ཤེལ་ལས་སྡེ་༡༢༠༠ ལས་ གསུམ་ཆ་གཅིག་ ཌའུཊ་ཤི་དངུལ་ཁང་གིས་ དབང་འཛིན་འབད་ཡོདཔ་སྦེ་ བསམ་འཆར་བཀོད་ནུག།,"According to the British newspaper The Guardian, one third of the 1,200 companies open for this purpose are owned by the Dutch bank."
"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.",འཛམ་གླིང་ནང་ལུ་ ངོ་བརྒལ་འགྲེམ་སྟོན་དང་ ཉེ་རྩོད་ཀྱི་རྩོད་བཤེར་ཚུ་འབྱུང་ཡོདཔ་དང་ ཨའིསི་ལེནཌ་དང་པ་ཀིས་ཏཱན་གྱི་གཞུང་གི་དབུ་ཁྲིདཔ་ གཉིས་ཆ་ར་དགོངསམ་ཞུ་ནུག,འཛམ་གླིང་ནང་ངོ་རྒོལ་གྱི་ལས་རིམ་བྱུང་ཡོདཔ་མ་ཚད་ ཉེས་ཅན་གྱི་ཁྲིམས་བཤེར་ཡང་ ལེ་ཤ་ཅིག་རང་ འབད་ཡོདཔ་མ་ཚད་ ཨིསི་ལེནཌ་དང་ པཱ་ཀིསི་ཏཱན་གཞུང་གི་འགོ་ཁྲིདཔ་གཉིས་ཆ་ར་གིས་ དགོངས་ཞུ་འབད་ཡོདཔ་ཨིན་པས།,"Riots broke out around the world, and anti-corruption trials ensued, and the heads of governments of both Iceland and Pakistan resigned."
"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".",ཧོང་ཀོང་ལུ་སྐྱེས་མི་ མ་གིས་ ནིའུ་ཡོག་གཙུག་ལག་སློབ་སྡེ་དང་ ཧར་བརཊ་ཁྲིམས་འབྲེལ་སློབ་གྲྭ་ནང་ལུ་ ཆོས་བལྟ་ཡོདཔ་མ་ཚད་ དེ་བསྒང་ཚར་གཅིག་ ཨེ་མི་རི་ཀ་ལུ་ གཏན་འཇགས་སྦེ་སྡོད་ཆོག་པའི་ཆོག་ཐམ་ གིརིན་ཀཱཊ་ཡང་ཐོབ་ནུག,"ཧོང་ཀོང་ལུ་སྐྱེས་མི་ མ་གིས་ ནིའུ་ཡོག་གཙུག་ལག་སློབ་སྡེ་དང་ ཧར་ཝརད་ཁྲིམས་ལུགས་སློབ་གྲྭ་ནང་ ཤེས་ཡོན་སྦྱང་ཡོདཔ་དང་ ཚར་གཅིག་ ཨ་མི་རི་ཀཱའི་གཏན་འཇགས་སྡོད་མི་ ""ཤོག་བྱང་ལྗང་ཁུ"" ཐོབ་ནུག།","Born in Hong Kong, Ma attended New York University and Herbert School of Law, and once earned a green card, which allowed her to live in the U.S. permanently."
Hsieh implied during the election that Ma might flee the country during a time of crisis.,བཙག་འཐུ་གི་སྐབས་ལུ་ ཧེཤ་གིས་ རྒྱལ་ཁབ་ནང་ལུ་ སྟབས་མ་བདེཝ་ཚུ་ཐོནམ་ད་ལུ་ མ་གིས་ བྱོག་འགྱོ་ནི་གི་ཉེ་ནཁ་ཡོད་ཟེར་བཤད་ནུག,བཙག་འཐུའི་སྐབས་ལུ་ ཧ་སི་གིས་ མ་འདི་ དཀའ་ངལ་གྱི་སྐབས་ལུ་ རྒྱལ་ཁབ་ནང་ལས་ ཐོན་འགྱོ་འོང་ཟེར་ བརྡ་སྟོན་འབད་ནུག།,"During the election, Hash said Ma was on the verge of fleeing as tensions rose in the country."
Hsieh also argued that the photogenic Ma was more style than substance.,ད་རུང་ ཧེཤ་གིས་ པར་ནང་ལུ་ལེགས་ཤོམ་མཐོང་མི་མ་ལུ་ནང་ན་བཟའ་བཟའཝ་བས་ ཕྱི་ཁ་ལུ་རྣམ་འགྱུར་ཆེ་ཟེར་བཀོད་ནུག,Hsieh གིས་ཡང་ པར་རིས་བཟོ་མི་ Ma འདི་ རྫས་སྦྱོར་ལས་ལྷག་སྟེ་ བཟོ་རྣམ་ཅིག་ཨིནམ་སྦེ་ བདེན་ཁུངས་གཟང་ཡོདཔ་ཨིན།,Hash also pointed out that the woman who looks better in the picture eats inside than she looks outside.
"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.",མ་ལུ་ ནི་བཟུམ་གྱི་ཁ་ཉེས་བཀལ་ཏེ་ཡོད་རུང་རྒྱ་ནག་དང་གཅིག་ཁར་ མཐུན་ལམ་ལེགས་ཤོམ་བཟོ་ནི་ཟེར་བཤད་་དེ་ འཇམ་ཏོང་ཏོ་སྦེ་རྒྱལ་ཁ་ཐོབ་་ནུག,ཉེས་འཛུགས་འདི་ཚུ་ཡོད་རུང་ མ་གིས་ རྒྱ་ནག་གི་ས་གནས་གཙོ་བོ་དང་གཅིག་ཁར་ མཐུན་ལམ་དམ་ཟབ་བཟོ་ནི་གི་ སྐུལ་ཁྱབ་བརྡ་སྤྲོད་འབད་བའི་སྐབས་ལུ་ རྒྱལ་ཁ་ཐོབ་ནུག།,"Although he was accused of such things, he easily won by saying he would improve relations with China."
Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,ད་རེས་ཀྱི་རྩེད་འགྲན་ནང་ལས་ རྩེད་འགྲན་པ་དྲག་ཤོས་འདི་ ཝ་ཤིང་ཊོན་ཀེ་པི་ཊལ་ནང་ལས་ ཨེ་ལེག་སི་ཨོབཅ་ཀིན་གྱིས་ཐོབ་ཅི།,ད་རིས་ཀྱི་རྩེད་འགྲན་པ་འདི་ ཝ་ཤིང་ཊོན་ཀེ་པི་ཊལསི་གི་ ཨེ་ལེགསི་ཨོ་ཝེཆ་ཀིན་ཨིན།,Alexei Ovkin of the Washington Capitals was named the Player of the Year.
He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,ཨེཌ་ལཱན་ཊ་ཐེ་རེ་ཤར་དང་གཅིག་ཁར་རྩེད་བའི་སྐབས་ལུ་ ཁོ་གིས་ གཱོལ་༢བཙུགས་ཡོདཔ་མ་ཚད་ གཞན་མི་གཱོལ་༢བཙུགས་ནི་ནང་ལུ་ཡང་ རྒྱབ་སྐྱོར་འབད་ཚུགས་ནི་འདི་གིས་ ཝ་ཤིང་ཊོན་འདི་ གཱོལ་༥དང་༣སྦེ་ རྒྱལ་ཁ་ཐོབ་ཡོདཔ་ཨིན་མས།,ཝ་ཤིང་ཊོན་གྱིས་ ཨེ་ཊ་ལན་ཊ་ཐྲ་ཤར་ལས་ ༥-༣ གྱིས་ རྒྱལ་ཁ་ཐོབ་པའི་སྐབས་ ཁོ་གིས་ གཱོལ་༢ དང་ ཕན་ཐོགས་༢ འབད་ཡོདཔ་ཨིན་པས།,"Against the Atlanta Thrashers, he scored two goals and was able to assist on two other goals that led Washington to a 5-3 victory."
Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,ཨོབཅ་ཀིན་གྱིས་ དེ་ཚེ་ཕྱི་རུ་ གཱོལ་བཙུགས་ནི་ནང་ རྒྱབ་སྐྱོར་འགོ་དང་པ་་འདི་ ནི་ཀ་ལ་སི་བེག་ཨི་སི་ཊོརམ་གྱིས་གཱོལ་བཙུགས་ཏེ་ རྩེད་འགྲན་འདི་ནང་ལས་ རྒྱལ་ཁ་ཐོབ་མི་གཱོལ་འདི་ཨིན་མས།,མཚན་མོ་འདི་ནང་ ཨོ་ཝེ་ཆི་ཀིན་གྱིས་ གྲོགས་རམ་འགོ་དང་པ་འདི་ རུ་ཀི་ནིཀ་ལཱསི་བེཀ་སི་ཊོམ་གྱིས་ རྩེད་འགྲན་རྒྱལ་ཁ་ཐོབ་མི་གི་གཱོལ་ནང་ལུ་ གྲོགས་རམ་འབད་ཡོདཔ་ཨིན།,Obkin’s first goalscoring assist of the night was the game-winning goal by Niklas Beck-E-Storm.
