eng,dzo
We are looking for somebody who can use a computer.,ང་བཅས་ གློག་རིག་ལག་ལེན་འཐབ་ཤེས་མི་ མི་ཅིག་ལྟ་བའི་བསྒང་ཡོད།
We are responsible for your protection from now on.,ད་ལས་ཕར་ཁྱོད་ཀྱི་ཉེན་སྲུང་འདི་ང་བཅས་ལུ་འགན་ཁག་ཕོགཔ་ཨིན།
We can't afford to make this kind of mistake again.,ང་བཅས་ཀྱིས་འཛོལ་བ་འདི་བཟུམ་ལོག་ཅི་ར་བཟོ་མ་ཚུགསཔ་འབད་དགོ།
We dissected a frog to examine its internal organs.,ང་བཅས་ཀྱིས་ནང་འཁོད་གཟུགས་ཀྱི་ཆ་ཤས་ལྟ་ནི་དོན་ལས་སྦལཔ་གཅིག་བཏོག་ཡི།
We don't yet know if that's going to happen or not.,ང་བཅས་ཀྱི་ད་ལྟོ་ཡང་ འདི་འབད་འོང་ག་མི་འབད་འོང་ག་མི་ཤེས།
We estimate the damages to be one thousand dollars.,ང་བཅས་ཀྱིས་ གནོད་རྐྱེན་འདི་ཌོ་ལར་སྟོང་ཕྲག་གཅིག་ལུ་ཕོ་ཚོད་བཏོན་ཡི།
We had no choice but to call the police last night.,ང་བཅས་ལུ་བྱ་ཐབས་ར་མེད་པར་ ཁ་ཙ་ནུབ་མོ་ཁྲིམས་སྲུང་དགག་པ་འབོ་དགོཔ་ཐོན་ཡི།
We have about thirty bottles of wine in the cellar.,ང་བཅས་ལུ་འོག་ཁང་ནང་ཆང་དམ་སྦྱིས་སུམ་ཅུ་དེ་ཅིག་ཡོད།
We have been enjoying peace for more than 40 years.,ང་བཅས་ཚུ་ལོ་ངོ་༤༠ ལྷག་ཞི་བདེ་ལུ་ལོངས་སྤྱོད་དོ་སྡོད་ཡོད།
We have five days to go before the summer vacation.,ང་བཅས་ཚུ་གནམ་བྱར་གྱི་ངལ་གསོ་གི་ཧེ་མ་ ཉིནམ་ལྔ་འགྱོ་དགོཔ་ཡོད།
We have to be prepared to cope with violent storms.,ང་བཅས་གནོད་འཚེ་ཅན་གྱི་གནམ་གཤིས་རྩུབ་དྲགས་ཀྱི་གདོང་ལོན་ཀྱི་དོན་ལུ་གྲ་སྒྲིག་འབད་དགོ
We haven't talked to each other since the accident.,ང་བཅས་རྐྱེན་ངན་འདི་ལས་ར་ གཅིག་གི་གཅིག་ལུ་བློ་སླབ་མ་ཚུགས།
"We hurried to the airport, but we missed the plane.",ང་བཅས་གནམ་གྲུ་ཐང་ན་འཚབ་འཚབ་སྦེ་འགྱོ་རུང་ གནམ་གྲུ་འབྱིད་སོང་ནུག།
We may as well stay here till the weather improves.,ང་བཅས་ཡང་ གནམ་གཤིས་ལེགས་ཤོམ་མ་འགྱོཝ་ཚུན་ ནཱ་སྡོད་ཆོག་འོང་།
We must create a safe environment for our children.,ང་བཅས་ཀྱི་ཨ་ལུ་གི་དོན་ལུ་ ཉེན་སྲུང་ཅན་གྱི་མཐའ་འཁོར་བཟོ་དགོཔ་ཨིན།
We must take into account the fact that she is old.,ང་བཅས་ཀྱི་མོ་ལོ་ན་རྒས་ཤོས་ཨིནམ་ངེས་བདེན་ཤེས་དགོ།
We now know that the testimony he gave was coerced.,ང་བཅས་ལུ་ཁོ་གི་བདེན་ཁུངས་བྱིན་མི་འདི་འཇིགས་སྐུལ་ཨིནམ་ད་ལྟོ་ཤེས་པས།
We saw something move in the shadows just up ahead.,ང་བཅས་ཀྱི་གྱིབ་མ་གི་གདོང་ཕྱོགས་སུ་ག་ཅི་ཅིག་སྤར་ཁ་མཐོང་ཡི།
We should learn from those who have gone before us.,ང་བཅས་ཀྱི་ཧེ་མ་འགྱོ་མི་ཚུ་ལས་ལྷབ་དགོ།
We spent too much for Christmas presents this year.,ང་བཅས་ཀྱིས་དུས་ཅི་གིས་ཡེ་ཤུའི་འཁྲུངས་སྟོན་དོན་ལུ་ཟད་འགྲོ་གནམ་མེད་ས་མེད་བཏང་ཡི།
"We used to have airplanes, but we had to sell them.",ང་བཅས་ལུ་གནམ་གྲུ་ཚུ་སྡོད་ཡོད་ ཨིན་རུང་ འདི་ཚུ་བཙོང་དགོཔ་ཐོན་ཡི།
We wandered aimlessly around the shopping district.,ང་བཅས་ཚུ་ཚོང་གི་རྫོང་ཁག་བསྐོར་ར་རྐྱབ་དམིགས་ཡུལ་མེད་པར་འཁྱམ་སྡོད་ཡི།
We were taught that World War II broke out in 1939.,ང་བཅས་ལུ་འཛམ་གླིང་དམག་ཆེན་གཉིས་པ་འདི་ སྤྱི་ལོ་ ༡༩༣༩ ལུ་འབྱུང་ཡོདཔ་སྦེ་སྟོན་ཡི།
We were thinking of asking you to join our company.,ང་བཅས་ཁྱོད་ང་བཅས་ཀྱི་ལས་སྡེ་འདི་ནང་འཛུལ་ཟེར་དྲི་དགོ་པས་ཟེར་མནོ་བསམ་བཏང་དོ།
We'll just have to wait and see how things pan out.,ང་བཅས་ཀྱི་ ལཱ་ཚུ་ག་དེ་སྦེ་འགྱོ་མས་ག་སྒུག་ལྟ་གེ།
We're starting to question what we thought we knew.,ང་བཅས་ཀྱི་ག་ཅི་མནོ་མི་དང་ཤེས་དྲི་བ་བཀལ་ནི་འགོ་བཙུགས་ཡི།
"We've finished the work, so we may as well go home.",ང་བཅས་ཀྱི་ལཱ་རྫོགས་ཡི་ དེ་འབདཝ་ལས་ཁྱིམ་ནང་འགྱོ་རུང་བཏུབ་ནི་མས།
Wealthy older men often marry younger trophy wives.,ཕོ་རྒས་རྒས་ཤོས་ཕྱུགཔོ་ཚུ་གི་ཨམ་སྲུ་གཞོནམོ་མིང་གཏམ་ཅན་དང་གཉེན་ལོག་ལོག་རྐྱབ་དོ་ཡོདཔ་ཨིན།
Were you going to the train station when I saw you?,ང་གི་མཐོང་པའི་སྐབས་ ཁྱོད་རེལ་ལི་ཞབས་ཏོག་ལྟེ་བ་ལུ་འགྱོ་བའི་བསྒང་ཨིན་ན?
What activity do you spend most of your time doing?,ཁྱོད་ཀྱི་དུས་ཚོད་མང་ཤོས་ར་ལས་སྣ་ག་ཅི་བཟུམ་ནང་བཏངམ་སྨོ?
What are some foods you usually eat with soy sauce?,སོ་ཡ་གར་ཁུ་དང་གཅིག་ཁར་རྫས་ག་ཅི་ར་ཟཝ་སྨོ?
What do you do to keep yourself from getting bored?,ཁྱོད་ར་དབངཔོ་མི་ངལ་ནི་དོན་ལས་ལཱ་ག་ཅི་ར་འབདཝ་སྨོ?
What do you think about Japan's educational system?,ཁྱོད་ཀྱི་ཇཱ་པན་གྱི་ཤེས་རིག་ལམ་ལུགས་ལུ་མནོ་བསམ་ག་དེ་སྦེ་བཏང་མས།
What have you bought your girlfriend for Christmas?,ཡེ་ཤུའུ་འཁྲུངས་སྟོན་ནང་ཁྱོད་རའི་བུམོ་རོགས་ཀྱི་དོན་ལས་ག་ཅི་ཉོ་ཡི?
What kind of clothes do you usually wear to school?,སློབ་གྲྭ་ནང་འགྱོཝ་ད་ རྒྱན་ཆ་མང་ཤོས་ར་ག་ཅི་བཟུམ་ར་གྱོནམ་སྨོ?
"What on earth were you thinking, bringing him here?",ཁོ་ནཱ་འབག་འོང་ནི་གི་ འཛམ་གླིང་ནང་ཁྱོད་མནོ་བསམ་ག་ཅི་བཏང་ཡི?
What should I do to find a suitable job for myself?,ང་ལུ་འོས་འབབ་ཅན་གྱི་ལཱ་གཡོག་གཅིག་ཐོབ་ནི་གི་དོན་ལས་ ག་ཅི་ར་འབད་དགོཔ་ཨིན་ན?
"What! This T-shirt is 3,000 yen? This is a rip-off!","ག་ཅི? འ་ནི་ཊི་ཁེན་ཇ་འདི་ཡེན་ ༣,༠༠༠ཡ? བླ་མ་མཁྱེན།"
What's the difference between asteroids and comets?,སྐར་ཁྱིམ་དང་སྐར་མ་དུ་བ་མཇུག་རིང་གི་ཁྱད་པར་ག་ཅི་སྨོ?
What's the good of having a car if you don't drive?,སྣུམ་འཁོར་འདི་མ་གཏང་པ་ཅིན་ སྣུམ་འཁོར་ཡོད་དགོ་པའི་ལེགས་ཧིང་ག་ཅི་སྨོ?
What's the most important part of a good education?,ཤེས་རིག་ལེགས་ཤོམ་ཀྱི་ཆ་ཤས་གལ་ཅན་ཅིག་ག་ཅི་སྨོ?
What's the name of the highest mountain in Germany?,ཇཱར་མ་ཎི་ལུ་གངས་རི་མཐོ་ཤོས་ཀྱི་མིང་ག་ཅི་སྨོ?
"When I got up, the sun was already high in the sky.",ང་ཡར་ལོངམ་ད་ ཉིམ་འདི་ཧེ་མ་དགུང་ལུ་ལྷོད་ནུག།
"When you get on the highway, shift into fifth gear.",ཁྱོད་གཞུང་ལམ་ལུ་ལྷོད་པའི་སྐབས་ འཐེན་སོ་ལྔ་པ་ལུ་སྤོ།
"Whenever I hear that song, I think of my childhood.",ནམ་ར་འབད་རུང་ འ་ནི་ཞབས་ཁྲ་འདི་གོ་བའི་སྐབས་ ང་ཨ་ལུ་འབད་སྡོད་པའི་མནོ་བསམ་བཏང་མས།
"Whenever I try to get near her, she pushes me away.",ནམ་ར་འབད་རུང་ ང་མོ་གིས་མོ་གི་སྦོ་ལོགས་ཁར་སྡོད་ནི་དཔའ་བཅམ་ད་ མོ་གིས་ང་ཕར་འཕུལ་གཏང་མས།
"Whether rains or not, the game is going to be held.",ཆརཔ་རྐྱབས་རུང་མ་རྐྱབ་རུང་ རྩེདམོ་འདི་རྩེད་ནི་མས།
"Which do you like better, the sea or the mountains?",ཁྱོད་ཀྱི་རྒྱ་མཚོ་དང་གངས་རི་ལས་ ག་འདི་དགའ་ཤོས་སྨོ?
Why do you have your umbrella up? It's not raining.,ཁྱོད་ཀྱི་ཉི་གདུགས་ག་ཅི་སྦེ་ཡར་ཡོདཔ་སྨོ? ཆརཔ་འདིན་མི་རྐྱབ་བས།
Will the government raise the consumption tax soon?,གཞུང་གིས་ཉོ་སྤྱོད་ཀྱི་ཁྲལ་མགྱོགས་པར་ཡར་སེང་འབད་འོང་ག?
"With a little more effort, he would have succeeded.",བརྩོན་ཤུགས་ཨ་ཙི་མང་སུ་བསྐྱེད་པ་ཅིན་ ཁོ་གིས་མཐར་འཁྱོལ་ཚུགསཔ་འོང།
Would you carry this up to the second floor for me?,ཁྱོད་ཀྱི་འ་ནི་ཅ་ལ་འདི་ ངེ་གི་དོན་ལས་ཐོག་གཉིས་པ་ནང་བཀལ་འོང་ག?
Would you ever go out with a guy who couldn't sing?,ཁྱོད་ཀྱི་ནམ་ཡང་ཞབས་ཁྲ་འཐེན་མ་ཤེས་མི་ཕོ་སྐྱེས་གཅིག་ཁར་ཕྱི་ཁར་འགྱོ་འོང་ག?
Would you like for me to make you something to eat?,ང་གི་ཁྱོད་ག་ཅི་ཅིག་ཟ་བཅུག་པ་ཅིན་ང་ལུ་དགའ་འོང་ག?
Would you like to get something to eat? It's on me.,ཁྱོད་ལུ་ཟ་ནི་གི་ག་ཅི་ཅིག་འབག་ཤོག་ག? ང་ལུ་འགན་ཁུར་ཡོད།
"You can also ride on an old, restored, steam train.",ཁྱོད་ཀྱི་རླངས་ཤུགས་ཀྱི་རེལ་ལི་ རྒསཔ་ཉམས་གསོ་འབད་ཡོད་མི་ལུ་ཡང་བཞོན་བཏུབ།
You can hear the news on the radio at nine o'clock.,ཁྱོད་ཀྱི་གནས་ཚུལ་འདི་ ཆུ་ཚོད་དགུ་ལུ་ རླུང་འཕྲིན་ཉན་སྒྲོམ་ལས་གོ་འོང་།
You can't buy this medicine without a prescription.,ཁྱོད་ལུ་སྨན་ཡིག་མེད་པ་ཅིན་ སྨན་འདི་ཉོ་མི་ཚུགས།
You could count to ten when you were two years old.,ཁྱོད་ལོ་གཉིས་སྦེ་སྡོད་པའི་སྐབས་ར་ གྲངས་བཅུ་ཐམས་ཚུན་རྩིས་ཚུགས་པས།
You have to look out for other cars when you drive.,ཁྱོད་སྣུམ་འཁོར་གཏང་བའི་སྐབས་ སྣུམ་འཁོར་གཞན་ལུ་ཡང་ལྟ་དགོ།
You have to study hard to catch up with your class.,སློབ་ཁང་སློབ་སྟོན་བདའ་ཟུན་ནི་གི་དོན་ལས་ དཔེ་ཆ་རྩ་འགེངས་ལྟ་དགོ།
"You may not believe it, but it is nonetheless true.",ཁྱོད་ཀྱི་ཡིད་མི་ཆེས་འོང་ ཨིན་ཏེ་འབད་རུང་འདི་བདེན།
You must consider what kind of work you want to do.,ཁྱོད་ཀྱི་ལཱ་ག་ཅི་ར་འབད་ནི་ལུ་དགའ་ག་ ཁྱོད་ར་གིས་བརྩི་འཇོག་འབད་དགོ།
You must make allowance for his lack of experience.,ཁྱོད་ཀྱིས་ཁོ་ལུ་ཉམས་མྱོང་མེད་པའི་འཐུས་བཟོ་དགོ།
You must make an effort to get along with everyone.,ཁྱོད་ཀྱི་མི་ག་ར་དང་མཉམ་འགྱོ་ནི་གི་དོན་ལས་བརྩོན་ཤུགས་བསྐྱེད་དགོ།
You need to find another way out of this situation.,ཁྱོད་ཀྱི་གནས་སྟངས་འདི་ལས་བརྒལ་ནི་དོན་ལུ་ གནས་སྐབས་སོ་སོ་གཅིག་སྟོན་དགོ་པས།
You never can tell what kind of job you might find.,ཁྱོད་ཀྱི་ཁྱོད་ར་ལཱ་གཡོག་ག་བཟུམ་ཐོབ་འོང་ག་སླབ་ར་མི་ཤེས།
You never listen. I might as well talk to the wall.,ཁྱོད་ཀྱི་ཉན་ར་མི་བཏུབ་པས། ང་གི་ཡང་ཅིན་གྱང་ལུ་ཡང་བློ་སླབ་འོང་།
You should have been more careful with your health.,ཁྱོད་རའི་གཟུགས་ཁམས་ལུ་ཁྱོད་དྲན་པ་མངམ་སྟོན་དགོཔ་སྡོད་ནུག།
You should not cut in when someone else is talking.,མི་ལ་ལུ་བློ་སླབ་སྡོདཔ་ད་ཁྱོད་ཀྱི་བར་ན་ལས་བཏོག་ནི་མི་འོང་།
You shouldn't talk about people behind their backs.,ཁྱོད་ཀྱི་མི་ཚུ་གི་སྐོར་ལས་ རྒྱབ་ཁར་བློ་སླབ་ནི་མི་འོང་།
You talk so fast I can't understand a word you say.,ཁྱོད་བློ་མགྱོགས་དྲགས་སླབ་མས་ ང་གི་འདི་ཁྱོད་ག་ཅི་སླབ་ཨིན་ན་ཚིགས་གཅིག་ཡང་ཧ་མ་གོ།
You were just in the wrong place at the wrong time.,ཁྱོད་ར་ས་སྒོ་འཛོལ་ས་དང་དུས་ཚོད་འཛོལ་ས་ནང་འདུག།
You will save time if you adopt this new procedure.,བྱ་སྒོའི་ལམ་ལུགས་གསརཔ་དང་ལེན་འབད་བ་ཅིན་ ཁྱོད་ཀྱི་དུས་ཚོད་བསྲུང་ཚུགས།
You'll be asleep by the time your father gets home.,ཁྱོད་ཀྱི་ཨ་པ་ཁྱིམ་ནང་ལྷོད་པའི་དུས་ཚོད་ལུ་ ཁྱོད་ར་གཉིད་ཁུག་འོང་།
You're the most beautiful woman in the whole world.,ཁྱོད་ར་འཛམ་གླིང་ཨམ་སྲུ་འཇའ་རིསམོ་དྲག་ཤོས་ཅིག་ཨིན།
You're welcome to stay with us as long as you want.,ཁྱོད་ར་སྡོད་དགོ་མནོ་ཚུན་ང་བཅས་དང་མཉམ་སྡོད་ནི་ལུ་བྱོན་པར་ལེགས་སོ་ཡོད།
Your answer to the question turned out to be wrong.,ཁྱོད་ཀྱི་དྲི་བ་འདི་གི་ལན་འདི་འཛོལ་བ་སྦེ་ཐོན་ནུག
"Even now, I occasionally think I'd like to see you.",ད་ལྟོ་ཡང་ ང་འཕྲལ་འཕྲལ་ར་ཁྱོད་ལྟ་དགོ་མནོ་མས།
"Top-down economics never works, said the Economist.",དཔལ་འབྱོར་མཁས་མཆོག་གིས་ མཐོ་དམའི་དཔལ་འབྱོར་རིག་པ་འདི་རྩ་ལས་ལཱ་མི་འབད་ཟེར་ཨིན་མས།
Nu. 10 Off Selected Luggage at Matalan from Mirror.,མ་ཊ་ལ་ཅ་ཆས་བཞག་ས་ལུ་མེ་ལོང་བཞག་མི་གི་གླ་འཐུས་དངུལ་ཀྲམ་ ༡༠ ཕབ་ནུག
"Nu. 1,200 for dealing with a damaged knee ligament.",གནོད་སྐྱོན་པུས་མོ་རིམ་སྒྲིག་སྒྲིག་ཆའི་དོན་ལུ་དངུལ་ཀྲམ་ ༡༢༠༠།
A 2 bedroom bungalow on the outskirts of Sherborne.,ཤིར་བོཎ་གྱི་ཁྲོམ་མཐའ་ལུ་ཉལ་ཁང་གཉིས་འབད་མི་ཁྱིམ།
A bat’s pregnancy lasts between six and nine weeks.,ཕ་ཝང་གི་མངལ་སྦྲུམ་འདི་བདུན་དྲག་དྲུག་དང་དགུ་གི་བར་ན་གནསཔ་ཨིན།
About 1750 responses were made to the consultation.,གྲོས་སྟོན་ལས་སྡེ་ལུ་ལན་གསལ་༡༧༥༠ དེ་ཅིག་བཀོད་ཡོདཔ་ཨིན།
Account by John Morgan of expenditure on roads par.,ཇོན་མོར་གན་གྱི་ཟད་འགྲོ་གི་རྩིས་ཁྲ་འདི་འཁོར་ལམ་ཁྱི་རྩིས་ཁྲ་དང་འདྲ་མཉམ་མས།
Accounting for the UK productivity puzzle: a decom.,ཡུ་ཀེ་གི་ཐོན་ཤུགས་མགུ་འཐོམ་རྩིས་འདི་ :
Accredited CPD Certificate awarded upon completion.,ཆ་འཇོག་དུས་རྒྱུན་མཁས་རིག་གོང་འཕེལ་གྱི་ལག་ཁྱེར་འདི་མཐར་འཁྱོལཔ་ད་གནང་ནུག།
"A charged static tank of at least 45,000L capacity.","གློག་ནུས་གཡོ་མེད་བླུགས་མཛོད་ ཤོང་ཚད་ཉུང་མཐའ་ལི་ཊར་ ༤༥,༠༠༠།"
A coat that will bring good cheer wherever it goes.,ས་གནས་ག་ཏེ་འགྱོ་རུང་སེམས་ལུ་དགའ་བ་འབྱུང་མི་ཀོཊ།
"Across Somerset, we’re getting ready for Christmas.",ས་གནས་སོ་མར་སེཊ་ཕར་ཁར་ལས་ ང་བཅས་ག་ར་ཡེ་ཤུའི་འཁྲུངས་སྟོན་ལུ་གྲ་སྒྲིག་འབད་དོ།
A crucial role was played by the Soviet leadership.,སོ་ཝིཊ་དབུ་ཁྲིད་ཀྱིས་ལཱ་འགན་གལ་ཅན་འབད་དེ་འདུག
Acting/speaking in haste is not always a good idea.,རྣམ་འགྱུར་ཡང་ན་བློ་འཚབ་འཚབ་འབད་སླབ་ནི་འདི་ཨ་རྟག་ར་གནས་སྐབས་ལེགས་ཤོམ་གཅིག་མེན།
Activin promotes healing where the skin is damaged.,སྨན་ཨེཀ་ཊི་ཝིན་གྱིས་པགས་ཀོ་སྐྱོན་ཡོད་མི་ཚུ་དྲག་ནི་ལུ་ཕན་རོགས་འབདཝ་ཨིན།
Adam: So I just missed out on the very last hurdle?,ཨེ་ཌམ: དེ་བཞིན་ ང་གིས་མཆོང་གདང་མཇུག་འདི་འབྱིད་ཡི་སྨོ?
Additional information: Plenty of off-road parking.,ཁ་སྐོང་གི་གནས་ཚུལ། ལམ་ལས་བརྒལ་བའི་སྣུམ་འཁོར་བཞག་ས་ལེ་ཤ་འདུག
"Additionally, exercise composing some easy phrases.",ལྷན་ཐབས་ལུ་བསྡེབས་ཚིག་འཇམ་ཏོང་ཏོ་ཚུ་ལུ་སྦྱོང་ལཱ་འབད།
Add the broccoli florets to a pot of boiling water.,མེ་ཏོག་ཧོན་ཚོད་ ཆུ་འཁོལ་མི་ཟམ་ནང་ཁ་སྐོང་སྦེ་བཀལ།
A Development Brief will be prepared for this site.,ས་ཁོངས་འདི་གོང་འཕེལ་བསྡུས་པ་ཅིག་བཅའ་སྒྲིག་རྐྱབ་ནི་ཨིན།
Advance booking is necessary for microfilm-readers.,སྔོན་བྱིན་བདག་སྲུང་འབད་ནི་འདི་ ཕྲ་གཟུགས་བརྙན་ཤོག་ལྷག་མི་ཚུ་ལུ་ངེས་པར་དུ་དགོ།
"Advice on walks, and hose pipe area for muddy paws.",རྐང་ཐང་དང་འགྱིབ་དུང་གྱི་ས་ཁོངས་འདམ་ཁོག་ནང་གི་སྡེའུ་བཞར་གྱི་བསླབ་བྱ།
A fantastic after-dinner activity at NST's château.,ཨེན་ཨེསཀྲི་ཅེ་ཊུ་ལུ་ ཕྱི་རུའི་ལྟོ་ཟ་ཚར་བའི་ཤུལ་མའི་ལས་དོན་མཆོག་འགྱུར་ཅིག།
After a leisurely lunch it’s back to the classroom!,ཉི་མའི་ལྟོ་ལྷོད་ལྷོད་སྦེ་བཟའ་བའི་ཤུལ་ལས་ ལོག་སློབ་ཁང་ནང་ལྷོད་ཅི།
"“After graduation, I plan to go straight into work.",གཙུག་ལག་ཤེས་ཚད་མཐར་འཁྱོལཝ་ཅིག་ ང་ཕྲང་འདི་ར་ལཱ་གཡོག་ནང་འཛུལ་ནི་གི་འཆར་གཞི་ཡོད།
"After many years of ill health, Lench died in 2000.",ལོ་མ་རབས་གཅིག་གཟུགས་ཁམས་མ་བདེ་བའི་ཤུལ་ལས་ ལེནཆི་འདི་སྤྱི་ལོ་༢༠༠༠ ལུ་གྱོངས་སོ་ནུག།
"Again, look at the stats if you still believe that.",ཁྱོད་ད་ལྟོ་ཡང་ཡིད་ཆེས་བསྐྱེད་པ་ཅིན་ ད་རུང་དབྱེ་རིམ་ལུ་བལྟ།
"Again, this document should be largely non-binding.",ད་རུང་ འ་ནི་ཡིག་ཆ་འདི་ མང་ཆེ་ཤོས་བསྡོམ་མ་བཏུབ་མི་ཨིན་མས།
A generous dividend is not necessarily a good sign.,བགོ་བཤའི་ཁེབ་ས་སྦོམ་འདི་ ངེས་པར་དུ་རྟགས་མཚན་ལེགས་ཤོམ་མེན།
A generous honorarium will be offered at Stage Two.,ཁྱད་འཐུས་འདི་ གོ་རིམ་གཉིས་པ་ནང་ལྷོདཔ་ད་སྤྲོད་ནི་ཨིན།
Agents Do Charity - in a big week for the industry.,ངོ་ཚབ་ཚུ་གི་གྲོགས་རམ་འབདཝ་ཨིན། བཟོ་གྲྭ་ཚུ་གི་བདུན་ཕྲག་སྦོམ་ཤོས་ཅིག་ཨིན།
A good relationship has been built up between them.,ཁོང་ཚུ་གི་བར་ན་མཐུན་འབྲེལ་ལེགས་ཤོམ་བཟོ་སྟེ་འདུག།
"‘A great prophet has appeared among us,’ they said.",ང་བཅས་ཀྱི་ནང་འཁོད་ལུང་བསྟན་ལེགས་ཤོམ་འཐོན་ཡོད། ཁོང་གི་སླབ་ཅི།
A great way to inject new life into exam prep work!,ཆོས་རྒྱུགས་གྲ་སྒྲིག་ཀྱི་ལཱ་ནང་མི་ཚེ་གསརཔ་བཙུགས་ནི་གི་དོན་ལས་ཐབས་ལམ་ལེགས་ཤོམ་ཅིག།
A happy couple relationship means happier children.,བཟའ་གྲོགས་ཀྱི་བར་ན་མཐུན་འབྲེལ་ལེགས་ཤོམ་འདི་ ཨ་ལུ་ཚུ་ཡང་དགའ་ཏོག་ཏོ་ཡོད་པའི་བརྡ་ཨིན།
A is around the pools at Scatness (south Mainland).,ཀ་འདི་ཨེས་ཀེཊ་ནེས་ (ལྷོ་ཕྱོགས་ཀྱི་ས་གནས་གཙོ་བོ) མཐའ་འཁོར་གྱི་ཆུ་རྫིང་ཨིན།
Alan Harris is one of the world's top bird artists.,ཨེལན་ཧ་རིས་འདི་འཛམ་གླིང་ནང་བྱ་གི་སྒྱུ་རྩལ་མཁནམ་མཐོ་ཤོས་ཅིག་ཨིན།
All CD's are sent via Royal Mail Recorded Delivery.,སྲབ་འཁོར་ཚུ་ག་ར་རྒྱལ་འཛིན་འགྲེམས་སྐྱེལ་འགྲེམས་ཡིག་ཐོག་ལས་བསྐྱལ་ཡི།
“All of our paper maps come with a mobile download.,ང་བཅས་ཀྱི་ཤོག་གུ་སབ་ཁྲ་ག་ར་འགྲུལ་འཕྲིན་ཕབ་ལེན་ཐོག་ལས་འོངམ་ཨིན།
All of the modules are assessed through coursework.,སྦྱོང་ཚན་ག་ར་ནང་འཁོད་སྦྱོང་ལཱའི་ཐོག་ལས་དབྱེ་ཞིབ་འབདཝ་ཨིན།
All of this is clear in the game’s central mission.,དེ་ཚུ་ག་ར་རྩོདམོ་གི་དམིགས་གཏད་ངོ་མ་ནང་ཁ་གསལ་ཡོད།
All our wigs are hand crafted using invisible lace.,ང་བཅས་ཀྱི་སྐྱ་ཤུབས་འདི་མི་མཐོང་བའི་རས་ཀྱི་ལག་བཟོ་འབད་དེ་ཡོད།
All parties were given five minutes for summing up.,ཚོགས་པ་ག་ར་ལུ་བཅུད་བསྡུ་ནི་གི་དོན་ལས་དུས་ཡུན་སྐར་མ་ལྔ་རེ་བྱིན་ཡི།
